用户id,昵称,性别,生日,所在地,学习经历,公司,注册时间,阳光信用,微博数,粉丝数,关注数,简介,主页,头像,高清头像,微博等级,会员等级,是否认证,认证类型,认证信息
6367430139,赚不完亏得完Ryu,m, ,海外,,Ryuki株式会社,2017-09-17,信用较好,210,37614,36,买基金是兴趣，买比特币是爱好。 认准趋势，做时间的朋友， 用最简单的方式赚最轻松的钱。,https://m.weibo.cn/u/6367430139?uid=6367430139&luicode=10000011&lfid=1005056367430139,"https://tvax3.sinaimg.cn/crop.0.0.512.512.180/006WV5s7ly8gd34gxt4lqj30e80e8q30.jpg?KID=imgbed,tva&Expires=1610192551&ssig=zp5kakeVBa",https://wx3.sinaimg.cn/orj480/006WV5s7ly8gd34gxt4lqj30e80e8q30.jpg,8,2,True,0,财经博主
6367430139,赚不完亏得完Ryu,m,,海外,,Ryuki株式会社,2017-09-17,信用较好,211,37728,36,买基金是兴趣，买比特币是爱好。 认准趋势，做时间的朋友， 用最简单的方式赚最轻松的钱。,https://m.weibo.cn/u/6367430139?uid=6367430139&luicode=10000011&lfid=1005056367430139,"https://tvax3.sinaimg.cn/crop.0.0.512.512.180/006WV5s7ly8gd34gxt4lqj30e80e8q30.jpg?KID=imgbed,tva&Expires=1610205246&ssig=E%2BnZCT4P5p",https://wx3.sinaimg.cn/orj480/006WV5s7ly8gd34gxt4lqj30e80e8q30.jpg,8,2,True,0,财经博主
6367430139,赚不完亏得完Ryu,m,,海外,,Ryuki株式会社,2017-09-17,信用较好,211,37731,36,买基金是兴趣，买比特币是爱好。 认准趋势，做时间的朋友， 用最简单的方式赚最轻松的钱。,https://m.weibo.cn/u/6367430139?uid=6367430139&luicode=10000011&lfid=1005056367430139,"https://tvax3.sinaimg.cn/crop.0.0.512.512.180/006WV5s7ly8gd34gxt4lqj30e80e8q30.jpg?KID=imgbed,tva&Expires=1610206044&ssig=cvYEKt25XD",https://wx3.sinaimg.cn/orj480/006WV5s7ly8gd34gxt4lqj30e80e8q30.jpg,8,2,True,0,财经博主
6367430139,赚不完亏得完Ryu,m,,海外,,Ryuki株式会社,2017-09-17,信用较好,211,37732,36,买基金是兴趣，买比特币是爱好。 认准趋势，做时间的朋友， 用最简单的方式赚最轻松的钱。,https://m.weibo.cn/u/6367430139?uid=6367430139&luicode=10000011&lfid=1005056367430139,"https://tvax3.sinaimg.cn/crop.0.0.512.512.180/006WV5s7ly8gd34gxt4lqj30e80e8q30.jpg?KID=imgbed,tva&Expires=1610206248&ssig=6WsImjwpbm",https://wx3.sinaimg.cn/orj480/006WV5s7ly8gd34gxt4lqj30e80e8q30.jpg,8,2,True,0,财经博主
6367430139,赚不完亏得完Ryu,m,,海外,,Ryuki株式会社,2017-09-17,信用较好,211,37733,36,买基金是兴趣，买比特币是爱好。 认准趋势，做时间的朋友， 用最简单的方式赚最轻松的钱。,https://m.weibo.cn/u/6367430139?uid=6367430139&luicode=10000011&lfid=1005056367430139,"https://tvax3.sinaimg.cn/crop.0.0.512.512.180/006WV5s7ly8gd34gxt4lqj30e80e8q30.jpg?KID=imgbed,tva&Expires=1610206514&ssig=84mO%2FqOR1v",https://wx3.sinaimg.cn/orj480/006WV5s7ly8gd34gxt4lqj30e80e8q30.jpg,8,2,True,0,财经博主
6367430139,赚不完亏得完Ryu,m,,海外,,,,,211,37737,36,买基金是兴趣，买比特币是爱好。 认准趋势，做时间的朋友， 用最简单的方式赚最轻松的钱。,https://m.weibo.cn/u/6367430139?uid=6367430139&luicode=10000011&lfid=1005056367430139,"https://tvax3.sinaimg.cn/crop.0.0.512.512.180/006WV5s7ly8gd34gxt4lqj30e80e8q30.jpg?KID=imgbed,tva&Expires=1610206904&ssig=%2BfFwZKGMcM",https://wx3.sinaimg.cn/orj480/006WV5s7ly8gd34gxt4lqj30e80e8q30.jpg,8,2,True,0,财经博主
6367430139,赚不完亏得完Ryu,m,,海外,,,,,211,37740,36,买基金是兴趣，买比特币是爱好。 认准趋势，做时间的朋友， 用最简单的方式赚最轻松的钱。,https://m.weibo.cn/u/6367430139?uid=6367430139&luicode=10000011&lfid=1005056367430139,"https://tvax3.sinaimg.cn/crop.0.0.512.512.180/006WV5s7ly8gd34gxt4lqj30e80e8q30.jpg?KID=imgbed,tva&Expires=1610207020&ssig=1nBuFM%2FeCC",https://wx3.sinaimg.cn/orj480/006WV5s7ly8gd34gxt4lqj30e80e8q30.jpg,8,2,True,0,财经博主
6367430139,赚不完亏得完Ryu,m,,海外,,Ryuki株式会社,2017-09-17,信用较好,211,37744,36,买基金是兴趣，买比特币是爱好。 认准趋势，做时间的朋友， 用最简单的方式赚最轻松的钱。,https://m.weibo.cn/u/6367430139?uid=6367430139&luicode=10000011&lfid=1005056367430139,"https://tvax3.sinaimg.cn/crop.0.0.512.512.180/006WV5s7ly8gd34gxt4lqj30e80e8q30.jpg?KID=imgbed,tva&Expires=1610207352&ssig=hlaZtiKUzo",https://wx3.sinaimg.cn/orj480/006WV5s7ly8gd34gxt4lqj30e80e8q30.jpg,8,2,True,0,财经博主
6367430139,赚不完亏得完Ryu,m,,海外,,,,,211,37749,36,买基金是兴趣，买比特币是爱好。 认准趋势，做时间的朋友， 用最简单的方式赚最轻松的钱。,https://m.weibo.cn/u/6367430139?uid=6367430139&luicode=10000011&lfid=1005056367430139,"https://tvax3.sinaimg.cn/crop.0.0.512.512.180/006WV5s7ly8gd34gxt4lqj30e80e8q30.jpg?KID=imgbed,tva&Expires=1610208001&ssig=%2FdW4MHKOSo",https://wx3.sinaimg.cn/orj480/006WV5s7ly8gd34gxt4lqj30e80e8q30.jpg,8,2,True,0,财经博主
6367430139,赚不完亏得完Ryu,m,,海外,,,,,211,37763,36,买基金是兴趣，买比特币是爱好。 认准趋势，做时间的朋友， 用最简单的方式赚最轻松的钱。,https://m.weibo.cn/u/6367430139?uid=6367430139&luicode=10000011&lfid=1005056367430139,"https://tvax3.sinaimg.cn/crop.0.0.512.512.180/006WV5s7ly8gd34gxt4lqj30e80e8q30.jpg?KID=imgbed,tva&Expires=1610209293&ssig=t81H6JZRMl",https://wx3.sinaimg.cn/orj480/006WV5s7ly8gd34gxt4lqj30e80e8q30.jpg,8,2,True,0,财经博主
